1, mouse, one, one, 0.7538567, 0
1, mouse, one, one, 0.5983683, 0
1, mouse, one, one, 0.7310398, 0
1, mouse, one, one, 0.9949549, 0
1, mouse, one, one, 0.6754582, 0
1, mouse, one, one, 0.8378052, 0
1, mouse, one, one, 0.6263331, 0
1, mouse, one, one, 0.8878049, 0
1, mouse, one, one, 0.6059327, 0
1, mouse, one, one, 0.6392744, 0
1, mouse, one, one, 0.6670754, 0
1, mouse, one, one, 4.435991, 0
1, mouse, one, one, 0.6402569, 0
1, mouse, one, one, 0.6825892, 0
1, mouse, one, one, 0.5522438, 0
1, mouse, one, one, 0.5142881, 0
1, mouse, one, one, 0.5595732, 0
1, mouse, one, one, 0.5903677, 0
1, mouse, one, one, 0.519071, 0
1, mouse, one, one, 0.5118151, 0
1, mouse, one, one, 2.054873, 0
1, mouse, one, one, 0.5988056, 0
1, mouse, one, one, 0.4741028, 0
1, mouse, one, one, 0.6609666, 0
1, mouse, one, one, 0.498748, 0
1, mouse, one, one, 0.5390358, 0
1, mouse, one, one, 0.4974098, 0
1, mouse, one, one, 0.5201943, 0
1, mouse, one, one, 0.5259622, 0
1, mouse, one, one, 0.4899778, 0
1, mouse, one, one, 0.4675936, 0
1, mouse, one, one, 0.5167138, 0
1, mouse, one, one, 0.4513284, 0
1, mouse, one, one, 0.8670943, 0
1, mouse, one, one, 0.6101674, 0
1, mouse, one, one, 0.4976223, 0
1, mouse, one, one, 0.5914903, 0
1, mouse, one, one, 0.4556709, 0
1, mouse, one, one, 0.5371326, 0
1, mouse, one, one, 0.5714974, 0
1, mouse, one, one, 0.5024974, 0
1, mouse, one, one, 0.4483777, 0
1, mouse, one, one, 0.4759221, 0
1, mouse, one, one, 0.5682961, 0
1, mouse, one, one, 1.985917, 0
1, mouse, one, one, 0.6237898, 0
1, mouse, one, one, 0.5819471, 0
1, mouse, one, one, 0.6325361, 0
1, mouse, one, one, 0.5272889, 0
1, mouse, one, one, 0.6973338, 0
1, mouse, one, one, 0.5253747, 0
1, mouse, one, one, 0.5399789, 0
1, mouse, one, one, 0.8521764, 0
1, mouse, one, one, 0.4902259, 0
1, mouse, one, one, 0.6752706, 0
1, mouse, one, one, 0.5183579, 0
1, mouse, one, one, 0.8186502, 0
1, mouse, one, one, 0.4916039, 0
1, mouse, one, one, 0.6169666, 0
1, mouse, one, one, 0.5540309, 0
1, mouse, one, one, 0.6036382, 0
1, mouse, one, one, 0.5132574, 0
1, mouse, one, one, 0.9650036, 0
1, mouse, one, one, 0.4847217, 0
1, mouse, one, one, 0.5965945, 0
1, mouse, one, one, 0.7938784, 0
1, mouse, one, one, 0.529852, 0
1, mouse, one, one, 1.300438, 0
1, mouse, one, one, 0.6744362, 0
